Wall time,Step,Value
1658492861.61457,0,0.15344034135341644
1658492872.947951,1,0.13147909939289093
1658492884.1401,2,0.12124644964933395
1658492895.793286,3,0.11671967804431915
1658492907.090171,4,0.11444882303476334
1658492918.221256,5,0.11285541951656342
1658492929.696409,6,0.11191681027412415
1658492941.051273,7,0.11101754009723663
1658492952.284516,8,0.11058827489614487
1658492963.28247,9,0.1099635437130928
1658492974.745403,10,0.10934129357337952
1658492986.134943,11,0.10910084843635559
1658492997.410315,12,0.10892622172832489
1658493008.557533,13,0.10838747769594193
1658493019.509133,14,0.10799054801464081
1658493030.676863,15,0.10798536986112595
1658493041.75119,16,0.10759245604276657
1658493052.773088,17,0.10762745887041092
1658493064.145023,18,0.10734830796718597
1658493075.043084,19,0.10732358694076538
1658493086.423171,20,0.10666316002607346
1658493097.81033,21,0.10638614743947983
1658493108.776723,22,0.10660473257303238
1658493120.089806,23,0.10643818974494934
1658493131.461989,24,0.10630271583795547
1658493142.717641,25,0.10640881955623627
1658493153.751001,26,0.10615037381649017
1658493164.954013,27,0.10604514926671982
1658493176.120052,28,0.10586018860340118
1658493187.484258,29,0.10558980703353882
1658493198.606384,30,0.10551939159631729
1658493209.922774,31,0.10551126301288605
1658493221.486905,32,0.10551045835018158
1658493233.055738,33,0.10548378527164459
1658493244.141862,34,0.10511832684278488
1658493255.461616,35,0.10514375567436218
1658493266.577899,36,0.10501299053430557
1658493277.564423,37,0.10485827177762985
1658493288.951248,38,0.10488571971654892
1658493299.913035,39,0.10506834089756012
1658493311.18089,40,0.10454695671796799
1658493322.580842,41,0.10493498295545578
1658493333.883705,42,0.10489225387573242
1658493344.774902,43,0.10482599586248398
1658493356.392889,44,0.10485069453716278
1658493368.019217,45,0.10453413426876068
1658493379.323349,46,0.10431893169879913
1658493390.940221,47,0.10461556911468506
1658493402.373382,48,0.10446151345968246
1658493413.513521,49,0.10437438637018204
1658493424.733378,50,0.10437745600938797
1658493435.79265,51,0.10439607501029968
1658493446.877815,52,0.10440833121538162
1658493458.365695,53,0.10426201671361923
1658493469.822798,54,0.10421186685562134
1658493481.440244,55,0.10440568625926971
1658493492.694,56,0.10420069843530655
1658493503.874345,57,0.10414092987775803
1658493515.353151,58,0.1041039377450943
1658493526.463447,59,0.1040482446551323
1658493537.566666,60,0.10407550632953644
1658493548.814141,61,0.10396534204483032
1658493560.063914,62,0.10409446805715561
1658493571.315471,63,0.10389573127031326
1658493582.54172,64,0.10403668880462646
1658493593.517569,65,0.10393104702234268
1658493604.720263,66,0.10380136221647263
1658493615.846884,67,0.10393667966127396
1658493627.060262,68,0.10388801991939545
1658493638.258639,69,0.10370524227619171
1658493649.90253,70,0.10376213490962982
1658493661.583348,71,0.10384292900562286
1658493672.514512,72,0.10406080633401871
1658493683.712741,73,0.1036674752831459
1658493694.986467,74,0.10362215340137482
1658493706.199251,75,0.1036190316081047
1658493717.09541,76,0.10364346206188202
1658493728.647506,77,0.10344898700714111
1658493740.169988,78,0.10345219820737839
1658493751.688164,79,0.10340996831655502
1658493763.00241,80,0.10330116748809814
1658493774.224811,81,0.10371942818164825
1658493785.439939,82,0.10344766080379486
1658493796.827115,83,0.10334403812885284
1658493807.895132,84,0.10345389693975449
1658493819.338883,85,0.10347387939691544
1658493830.632196,86,0.10360068082809448
1658493841.805678,87,0.10347029566764832
1658493853.207829,88,0.1033799797296524
1658493864.345571,89,0.10314460098743439
1658493875.325546,90,0.10344810783863068
1658493886.821252,91,0.10323330760002136
1658493898.080211,92,0.10317731648683548
1658493909.269975,93,0.10329998284578323
1658493920.895193,94,0.10334319621324539
1658493932.481238,95,0.10324428975582123
1658493943.658988,96,0.10306613147258759
1658493954.937132,97,0.10324178636074066
1658493965.962485,98,0.10314429551362991
1658493977.501821,99,0.10306058079004288
1658493988.728285,100,0.10313259810209274
1658494000.018057,101,0.10318747907876968
1658494011.388405,102,0.10295657813549042
1658494022.613649,103,0.10330420732498169
1658494033.720221,104,0.10317476093769073
1658494044.682495,105,0.1029791608452797
1658494056.31116,106,0.10305249691009521
1658494067.51053,107,0.10309983044862747
1658494078.572361,108,0.10285469889640808
1658494089.735611,109,0.10313437134027481
1658494100.589836,110,0.10298478603363037
1658494111.591582,111,0.1030307486653328
1658494122.650143,112,0.10289186984300613
1658494133.861832,113,0.10300122201442719
1658494145.403622,114,0.10291815549135208
1658494156.84972,115,0.10282110422849655
1658494168.320867,116,0.1028786301612854
1658494179.983194,117,0.10282284021377563
1658494191.328046,118,0.102753184735775
1658494202.484423,119,0.10286001861095428
1658494213.797873,120,0.10290967673063278
1658494224.792974,121,0.10287410765886307
1658494235.631977,122,0.10282929986715317
1658494247.654805,123,0.10284534096717834
1658494258.91515,124,0.10287179797887802
1658494270.048589,125,0.10275330394506454
1658494281.707373,126,0.10272343456745148
1658494293.180106,127,0.10274087637662888
1658494304.696961,128,0.10274972766637802
1658494316.062556,129,0.10278847813606262
1658494327.489235,130,0.10284975916147232
1658494338.862391,131,0.10268465429544449
1658494349.974949,132,0.1027788370847702
1658494361.381543,133,0.1027858704328537
1658494372.722358,134,0.1027103066444397
1658494383.574133,135,0.1026720181107521
1658494395.20202,136,0.1026037186384201
1658494406.567537,137,0.1026906669139862
1658494417.634532,138,0.10269349813461304
1658494429.006326,139,0.10272452235221863
1658494440.019044,140,0.10280826687812805
1658494451.045318,141,0.10261914879083633
1658494462.478564,142,0.10261155664920807
1658494473.513735,143,0.10245521366596222
1658494484.775015,144,0.10238230973482132
1658494496.251086,145,0.1024995818734169
1658494507.677963,146,0.10244797170162201
